"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino:","Margin of Error!!Total:!!Not Hispanic or Latino:","Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Estimate!!Total:!!Hispanic or Latino:","Margin of Error!!Total:!!Hispanic or Latino:","Estimate!!Total:!!Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"1500000US060014001001","Block Group 1, Census Tract 4001, Alameda County, California","3120","208","3002","191","2317","235","107","68","0","12","391","112","0","12","0","12","187","126","0","12","187","126","118","61","77","50","0","12","0","12","7","10","0","12","34","33","0","12","0","12","0","12"
"1500000US060014002001","Block Group 1, Census Tract 4002, Alameda County, California","990","138","894","129","761","129","13","13","4","7","41","25","0","12","0","12","75","48","0","12","75","48","96","64","68","55","0","12","0","12","0","12","0","12","5","7","23","25","0","12","23","25"
"1500000US060014002002","Block Group 2, Census Tract 4002, Alameda County, California","1017","123","939","129","714","116","39","46","0","12","130","64","0","12","0","12","56","46","0","12","56","46","78","50","34","32","0","12","0","12","0","12","0","12","12","14","32","34","14","25","18","25"
"1500000US060014003001","Block Group 1, Census Tract 4003, Alameda County, California","1134","238","1059","241","735","215","0","12","0","12","274","152","0","12","0","12","50","63","0","12","50","63","75","77","75","77","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1500000US060014003002","Block Group 2, Census Tract 4003, Alameda County, California","1237","263","1139","255","1008","248","18","27","0","12","113","70","0","12","0","12","0","12","0","12","0","12","98","74","61","46","0","12","0","12","0","12","0","12","37","60","0","12","0","12","0","12"
"1500000US060014003003","Block Group 3, Census Tract 4003, Alameda County, California","1136","295","1111","283","632","206","373","175","0","12","106","93","0","12","0","12","0","12","0","12","0","12","25","41","25","41","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1500000US060014003004","Block Group 4, Census Tract 4003, Alameda County, California","1544","276","1391","313","1059","309","68","80","0","12","97","69","23","39","97","105","47","51","0","12","47","51","153","117","153","117","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1500000US060014004001","Block Group 1, Census Tract 4004, Alameda County, California","1749","258","1462","247","1208","232","59","57","0","12","177","91","0","12","0","12","18","28","0","12","18","28","287","216","102","84","25","37","0","12","0","12","0","12","154","205","6","11","0","12","6","11"
"1500000US060014004002","Block Group 2, Census Tract 4004, Alameda County, California","884","206","794","181","492","140","111","98","23","34","121","73","0","12","0","12","47","36","0","12","47","36","90","68","41","49","0","12","9","16","0","12","0","12","12","19","28","43","0","12","28","43"
"1500000US060014004003","Block Group 3, Census Tract 4004, Alameda County, California","1374","310","1266","282","854","227","96","128","12","17","122","65","0","12","0","12","182","103","0","12","182","103","108","87","51","57","0","12","0","12","0","12","0","12","33","38","24","27","13","21","11","17"
"1500000US060014005001","Block Group 1, Census Tract 4005, Alameda County, California","2708","368","2399","307","1244","216","655","162","0","12","238","120","22","33","6","10","234","137","0","12","234","137","309","141","94","75","0","12","0","12","0","12","0","12","91","83","124","84","19","22","105","81"
