"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino:","Margin of Error!!Total:!!Not Hispanic or Latino:","Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Estimate!!Total:!!Hispanic or Latino:","Margin of Error!!Total:!!Hispanic or Latino:","Estimate!!Total:!!Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"1400000US06013301000","Census Tract 3010, Contra Costa County, California","5150","524","4003","499","3205","549","462","300","0","17","145","103","0","17","94","85","97","55","27","42","70","42","1147","398","587","279","57","79","0","17","0","17","0","17","427","324","76","63","32","38","44","53"
"1400000US06013302005","Census Tract 3020.05, Contra Costa County, California","7290","561","4864","749","2972","562","1073","641","35","43","266","192","149","182","0","17","369","221","0","17","369","221","2426","899","1452","809","27","43","0","17","0","17","0","17","947","599","0","17","0","17","0","17"
"1400000US06013302006","Census Tract 3020.06, Contra Costa County, California","3775","248","2451","310","1783","285","231","195","0","12","283","83","0","12","0","12","154","106","0","12","154","106","1324","239","824","324","19","28","46","45","0","12","0","12","328","184","107","100","94","95","13","21"
"1400000US06013302007","Census Tract 3020.07, Contra Costa County, California","6652","447","4075","313","2618","290","530","76","68","81","430","237","140","185","0","17","289","172","0","17","289","172","2577","518","840","422","0","17","0","17","0","17","0","17","1557","630","180","152","20","25","160","149"
"1400000US06013302008","Census Tract 3020.08, Contra Costa County, California","8781","491","5223","644","3044","574","946","207","73","107","565","289","88","139","0","17","507","271","0","17","507","271","3558","611","1435","602","0","17","86","120","0","17","0","17","1774","651","263","178","114","95","149","152"
"1400000US06013302009","Census Tract 3020.09, Contra Costa County, California","7279","719","5107","592","1585","287","1507","516","0","17","1672","282","0","17","0","17","343","232","39","41","304","227","2172","776","494","229","15","24","0","17","0","17","9","16","1509","762","145","95","66","61","79","66"
"1400000US06013302010","Census Tract 3020.10, Contra Costa County, California","11767","763","7976","713","5441","622","491","190","8","13","940","575","15","26","9","17","1072","530","0","19","1072","530","3791","465","1485","481","274","258","109","182","0","19","0","19","1421","563","502","294","212","211","290","210"
"1400000US06013303102","Census Tract 3031.02, Contra Costa County, California","9625","661","7068","457","4344","473","936","95","0","17","1358","304","0","17","51","82","379","234","0","17","379","234","2557","663","1356","429","75","84","0","17","23","36","0","17","892","618","211","160","123","127","88","88"
"1400000US06013303103","Census Tract 3031.03, Contra Costa County, California","12652","767","8413","579","5948","627","831","355","204","157","995","315","29","44","0","19","406","205","21","35","385","198","4239","522","1793","510","303","411","90","138","0","19","0","19","1650","565","403","249","336","243","67","84"
