X,Y,hash,number,street,unit,city,district,region,postcode,id
-78.1422444,41.3286117,93dd7b7e3ee3e8af,"501",CASTLE GARDEN RD,,,,,,"7579"
-78.143584,41.3284045,853eb0c5f6e70fe3,"64",BELDIN DR,,,,,,"4502"
-78.1711061,41.3282128,99a13ba635404d80,"9760",MIX RUN RD,,,,,,"8448"
-78.1429278,41.3282883,70319cf9e435b858,,,,,,,,
-78.1427173,41.3282733,759f051e7a587eb2,"465",CASTLE GARDEN RD,,,,,,"6447"
-78.1433463,41.3282308,9fbb571fc16a6cb2,"61",BELDIN DR,,,,,,"4466"
-78.1432403,41.3282179,8f837d813626f1e1,,,,,,,,
-78.1715165,41.3280965,5004ba87bd6e668b,"9736",MIX RUN RD,,,,,,"7434"
-78.1704277,41.3280741,1d1cf1bbbec7d5a4,"9800",MIX RUN RD,,,,,,"0433"
-78.1719344,41.3280187,6e3576931b3ad63c,"9714",MIX RUN RD,,,,,,"6411"
-78.1443125,41.3281097,10a29b97760209f7,"102",BELDIN DR,,,,,,"2401"
-78.1717627,41.3279996,fb68182e6266a00b,,,,,,,,
-78.171478,41.3279999,c8a271ad02aa42bb,,,,,,,,
-78.171478,41.3279999,c8a271ad02aa42bb,,,,,,,,
-78.1444875,41.3280881,4c007f48042e70ad,,,,,,,,
-78.1450381,41.328024,3c809d0be2903fc1,,,,,,,,
-78.170019,41.3279306,7532f890266a7239,"9824",MIX RUN RD,,,,,,"1348"
-78.1734231,41.3278755,9b88c06b8d953af1,"9632",MIX RUN RD,,,,,,"2306"
-78.1710976,41.3278818,cedee5451e47a87d,"9762",MIX RUN RD,,,,,,"8346"
-78.1732053,41.3278721,cc8e53b396d0e64c,"9644",MIX RUN RD,,,,,,"2366"
-78.143707,41.3279654,3f21435e7c7406f1,"87",BELDIN DR,,,,,,"3366"
-78.1692975,41.3278084,5fc18ff4559c0a59,"9860",MIX RUN RD,,,,,,"3343"
-78.1434128,41.3278673,22ff171e33fb5b70,,,,,,,,
-78.1726089,41.3277494,3ef499c594bc1df2,"9674",MIX RUN RD,,,,,,"4332"
-78.1687527,41.3277527,aef08bc36fd11f69,"9890",MIX RUN RD,,,,,,"4391"
-78.1446097,41.3278154,7847d46f544a48bb,,,,,,,,
-78.143261,41.3277939,e8455da1725a47bd,"423",CASTLE GARDEN RD,,,,,,"4390"
-78.1446882,41.327723,bd06469c3c6e1125,"137",ARCHERS LN,,,,,,"0297"
-78.147139,41.3276936,4bd44c54afbb9455,,,,,,,,
-78.1473021,41.3276531,988a3024ccc33c44,,,,,,,,
-78.1732725,41.3275494,b43e91941f5ce76b,"9634",MIX RUN RD,,,,,,"2245"
-78.1475782,41.3276141,0f5cd08727e17014,"7219",LOW GRADE RD,,,,,,"3204"
-78.1471825,41.3275375,ea19344f60b61897,"7227",LOW GRADE RD,,,,,,"4211"
-78.1749427,41.3274326,4e02dbad31062745,"9552",MIX RUN RD,,,,,,"7281"
-78.1449716,41.3275001,8266c4080da8caa0,"133",ARCHERS LN,,,,,,"0129"
-78.1480406,41.3274685,a71e0e199bc74057,,,,,,,,
-78.1451451,41.3274426,48acf3d6d1a8529c,,,,,,,,
-78.1451454,41.3274426,047a795fac19d03b,,,,,,,,
-78.1630244,41.3273581,d979e2f60bfc6e85,"47",PONDEROSA DR,,,,,,"0166"
-78.1478715,41.3273811,f16a851b298e105b,"7193",LOW GRADE RD,,,,,,"2125"
-78.1442703,41.3273908,0476585938de9667,"361",CASTLE GARDEN RD,,,,,,"2115"
-78.1456825,41.3273645,bb047d3c9c1b0da8,,,,,,,,
-78.1617873,41.3272202,4281085adf569f48,"10232",MIX RUN RD,,,,,,"4101"
-78.1456962,41.3272317,d1300c9a70cde83c,"115",ARCHERS LN,,,,,,"8029"
-78.1610627,41.3271682,43acfd5d9fcb5f1b,"10236",MIX RUN RD,,,,,,"6009"
-78.1608884,41.32716,b12fa7caff4977aa,,,,,,,,
-78.1642385,41.3271302,002ed0bc9b0e7466,"10108",MIX RUN RD,,,,,,"7028"
-78.145766,41.3269036,ab18300a1d4ea23c,"103",ARCHERS LN,,,,,,"8907"
-78.146204,41.3268429,029d6a68d6bdd77d,"79",ARCHERS LN,,,,,,"6985"
-78.1638719,41.3267656,6559a9b702504976,"64",PONDEROSA DR,,,,,,"8925"
-78.1450251,41.3268202,bd544e6eccdaf13d,"303",CASTLE GARDEN RD,,,,,,"0904"
-78.1630149,41.326756,78f2ee8f017cb25c,"73",PONDEROSA DR,,,,,,"0964"
-78.146372,41.3268064,5e8d409d8a06fcc9,,,,,,,,
-78.1484407,41.3267986,750f0b3c9cfe96e3,,,,,,,,
-78.1452044,41.3267325,56574358182e6038,"289",CASTLE GARDEN RD,,,,,,"9951"
-78.1483778,41.3267153,d63380bb36946383,"7137",LOW GRADE RD,,,,,,"0981"
-78.1630941,41.3266415,b36eed835baca52f,,,,,,,,
-78.0362511,41.426785,892b756b4e04be17,"8848",FIRST FORK RD,,,,,,
-78.0360666,41.3847307,45ea82ca76cfeb69,"614",KEPHART RD,,,,,,
-78.0362178,41.419196,cc19846cd5421dbe,"3904",BROOKS RUN RD,,,,,,
-78.0362556,41.4278036,d544c1cf462b6d1b,"710",PARK RD,,,,,,
-78.2555029,41.485821,18bafb8266c3259f,"6989",BRYAN HILL RD,,,,,,
-78.255513,41.4871214,17b18d962cd55ad2,"74",WHITTIMORE RD,,,,,,
-78.2556731,41.4985581,01bb2624d8ab1d60,"1201",WHITTIMORE RD,,,,,,
-78.2557316,41.5060835,1ac56317f545de6d,"2536",OLD WEST CREEK RD,,,,,,
